"Story","Title","Result","Date","Stability","Duration (s)"
"Virgin games test","Verifying That the value of defaultGameFrequency=300000","SUCCESS","2022-06-16T11:25:21.802+01:00[Europe/London]","0.0","5.42"
"Virgin games test","Verifying that 'startTime' should always be future timestamp","SUCCESS","2022-06-16T11:25:27.251+01:00[Europe/London]","0.0","0.22"
